omega,damping_normalized
0.3141592653589793,319.19541741
0.6283185307179586,1252.47695716
0.942477796076938,1587.98511055
1.2566370614359172,178.89095623
1.5707963267948966,364.51972104
1.884955592153876,122.13217031
2.199114857512855,-16.25567035
2.5132741228718345,35.02656689
2.827433388230814,9.21884141
3.141592653589793,-10.44543396
3.455751918948773,16.07917347
3.769911184307752,-6.56188657
4.084070449666731,3.74623704
4.39822971502571,-0.36395149
4.71238898038469,-1.9213876
5.026548245743669,-3.42259144
5.340707511102649,2.12948424
5.654866776461628,-0.15823493
5.969026041820607,-0.3664912
6.283185307179586,0.05220452
